threshold,quality,fallback_quality,quality_retention,quality_retention_lcb,quality_loss_rate,quality_loss_rate_ucl,routed_safety_precision,routed_safety_precision_lcb,safe_opportunity_recall,routed_fraction,macro_dataset_quality_retention,macro_dataset_quality_retention_lcb,macro_dataset_count,guarded_dataset_quality_retention,guarded_dataset_quality_retention_lcb,guarded_dataset_count,mean_resource,fallback_resource,resource_savings,conservative_resource_savings,fallback_usage,passes_quality_gate,passes_nominal_savings_gate,passes_conservative_savings_gate,passes_macro_gate,passes_harm_gate,passes_precision_gate,passes_guarded_dataset_gate,gate_pass_count,passes_base_gates,feasible_block_size,passes_stability_gate,is_feasible,setup
0.915,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9958705778305631,0.005349500713266762,0.00814072568416668,0.9358974358974359,0.9042590237217982,0.10305882352941176,0.08345221112696148,1.0028019182910488,0.9930236067846863,18.0,0.9782608695652173,0.9378094669827468,12.0,1.9376205341575525,1.9527850990648277,0.007765608675802227,-0.00042781722019724633,0.9165477888730386,True,True,False,True,True,True,True,6,False,0,False,False,safety_only_r4
0.92,0.7047075606276747,0.7047075606276747,1.0,0.9960949273966341,0.0039229671897289585,0.006400016038679072,0.9408602150537635,0.9055960966103997,0.08235294117647059,0.06633380884450785,1.0016378012754823,0.9950531502416653,18.0,0.983695652173913,0.9516996148833382,12.0,1.9418791250594387,1.9527850990648277,0.0055848306148033044,-0.00260859528119628,0.9336661911554922,True,True,False,True,True,True,True,6,False,0,False,False,safety_only_r4
0.925,0.7047075606276747,0.7047075606276747,1.0,0.996669742894167,0.0028530670470756064,0.005056257922349371,0.9459459459459459,0.9066024904490054,0.06588235294117648,0.052781740370898715,1.0007772665307118,0.9973283098953192,18.0,0.9891304347826086,0.9604537252882962,12.0,1.945454308131241,1.9527850990648277,0.0037540182670879885,-0.004439407628911596,0.9472182596291013,True,True,False,True,True,True,True,6,False,0,False,False,safety_only_r4
0.93,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9977448143183972,0.001783166904422254,0.0036585897337663522,0.9553571428571429,0.9111303776139307,0.050352941176470586,0.039942938659058486,1.00084771741638,0.998565301588728,18.0,0.993006993006993,0.9696882583417297,12.0,1.9487269535584084,1.9527850990648277,0.002078132155126866,-0.006115293740872829,0.9600570613409415,True,True,False,True,True,True,True,6,False,0,False,False,safety_only_r4
0.935,0.7054208273894437,0.7047075606276747,1.001012145748988,0.9989730305423459,0.0007132667617689016,0.0021530508146409173,0.9753086419753086,0.9280960905461199,0.0371764705882353,0.028887303851640515,1.0011512996871752,0.9987213020120935,18.0,0.993006993006993,0.9745576414442184,12.0,1.9519126858456168,1.9527850990648277,0.0004467533163934334,-0.007746672579606262,0.9711126961483595,True,True,False,True,True,True,True,6,False,0,False,False,safety_only_r4
0.94,0.7054208273894437,0.7047075606276747,1.001012145748988,0.9998351420411684,0.0,0.0009639569994812534,1.0,0.9522878489598533,0.025411764705882352,0.01925820256776034,1.0012345679012347,0.9992038844111711,18.0,1.0,0.9808819703615773,12.0,1.9542582136630209,1.9527850990648277,-0.0007543659560382832,-0.008947791852037756,0.9807417974322397,True,False,False,True,True,True,True,5,False,0,False,False,safety_only_r4
0.945,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.9300993291231223,0.016941176470588234,0.012838801711840228,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.9551640719606909,1.9527850990648277,-0.0012182461331780026,-0.009411672029177476,0.9871611982881597,True,False,False,True,True,True,True,5,False,0,False,False,safety_only_r4
0.95,0.7050641940085592,0.7047075606276747,1.0005060728744941,0.9996736570713808,0.0,0.0009639569994812534,1.0,0.8858687437672729,0.00988235294117647,0.007489300998573466,1.0006172839506173,0.9996019422055855,18.0,1.0,0.9817971414058139,12.0,1.9559223577429068,1.9527850990648277,-0.0016065560309639348,-0.009799981926963408,0.9925106990014265,True,False,False,True,True,False,True,4,False,0,False,False,safety_only_r4
0.975,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0,True,False,False,True,True,True,True,5,False,0,False,False,safety_only_r4
0.99,0.7047075606276747,0.7047075606276747,1.0,1.0,0.0,0.0009639569994812534,1.0,1.0,0.0,0.0,1.0,1.0,18.0,1.0,1.0,12.0,1.9567850990648274,1.9527850990648277,-0.0020483564739997018,-0.010241782369999619,1.0,True,False,False,True,True,True,True,5,False,0,False,False,safety_only_r4
